STD_YM,BLOCK_CD,X_COORD,Y_COORD,FLOW_POP_CNT_MON,FLOW_POP_CNT_TUS,FLOW_POP_CNT_WED,FLOW_POP_CNT_THU,FLOW_POP_CNT_FRI,FLOW_POP_CNT_SAT,FLOW_POP_CNT_SUN
202001,3.60306E+19,1000033.992,1660379.147,2.3,2.49,2.12,2.58,2.26,0.97,0.83
202001,3.60306E+19,1000033.992,1660479.147,4.79,5.21,4.63,5.39,4.96,3.09,2.67
202001,3.60306E+19,1000033.992,1660529.147,46.05,49.07,43.65,49.6,45.75,27.72,25
202001,3.60306E+19,1000033.992,1660579.147,12.22,13.83,12.64,13.93,13.37,9.43,8.99
202001,3.60306E+19,1000033.992,1660629.147,2.12,2.31,2.12,2.4,2.31,1.84,1.59
202001,3.60306E+19,1000033.992,1660679.147,4.33,4.54,4.24,4.84,4.75,3.83,3.32
202001,3.60306E+19,1000033.992,1660729.147,3.25,3.3,2.91,3.62,3.3,1.85,1.59
202001,3.60306E+19,1000033.992,1660779.147,1.41,1.52,1.43,1.57,1.43,0.92,0.87
202001,3.60306E+19,1000033.992,1660829.147,3.78,4.08,3.71,4.1,4.01,3.18,2.67
202001,3.60306E+19,1000033.992,1660879.147,11.87,12.77,12.38,13.61,13.67,11.35,10.58
202001,3.60306E+19,1000033.992,1660929.147,10.67,11.41,11.35,12.22,12.64,11.92,10.91
202001,3.60306E+19,1000033.992,1660979.147,15.65,15.91,15.47,17.36,18.15,16.79,14.51
202001,3.60306E+19,1000033.992,1661029.147,226.29,237.66,239.6,250.48,255.12,254.26,226.27
202001,3.60306E+19,1000033.992,1661079.147,20.66,21.07,21.07,22.88,24.69,24.99,21.7
202001,3.60306E+19,1000033.992,1661129.147,461.99,467.76,459.62,510.16,534.19,501.05,437.99
202001,3.60306E+19,1000033.992,1661179.147,487.12,495.98,491.78,535.94,558.33,522.63,471.77
202001,3.60306E+19,1000033.992,1661229.147,486.04,496.09,490.38,538.08,559.8,521.66,465.5
202001,3.60306E+19,1000033.992,1661279.147,563.24,581.2,583.56,622.06,638.83,606.63,556.81
202001,3.60306E+19,1000033.992,1661329.147,561.9,581.06,580,615.63,636.27,641.43,573.23
202001,3.60306E+19,1000033.992,1661379.147,33.16,36.43,36.98,37.54,38.09,39.34,37.19
202001,3.60306E+19,1000033.992,1661429.147,25,26.22,25.57,26.91,26.96,23.8,22.27
202001,3.60306E+19,1000033.992,1661479.147,69.33,72.24,73.56,73.56,75.12,78.35,76.88
202001,3.60306E+19,1000033.992,1661529.147,26.36,26.65,27.85,28.59,31.33,36.71,31.86
202001,3.60306E+19,1000033.992,1661579.147,73.86,76.23,77.01,79.13,83.93,91.12,78.74
202001,3.60306E+19,1000033.992,1661629.147,54.65,56.68,58.13,60.13,62.77,66.82,56.28
202001,3.60306E+19,1000033.992,1661679.147,12.18,12.33,12.1,12.52,13.86,16.48,13.6
202001,3.60306E+19,1000033.992,1661729.147,28.82,31.01,29.93,31.8,32.77,32.77,27.3
202001,3.60306E+19,1000033.992,1661779.147,3.83,4.24,3.97,4.43,4.33,3.48,2.75
202001,3.60306E+19,1000033.992,1661829.147,3.62,3.58,3.05,3.57,3.46,2.83,2.45
202001,3.60306E+19,1000033.992,1661879.147,5.09,5.19,4.43,5.42,4.7,1.77,1.52
202001,3.60306E+19,1000033.992,1661929.147,12.86,13.46,12.93,14,14.04,13.44,11.65
202001,3.60306E+19,1000033.992,1661979.147,3.85,3.97,3.88,4.04,4.38,5.17,4.31
202001,3.60306E+19,1000033.992,1662029.147,1.82,2.12,2.22,2.22,2.3,2.31,1.84
202001,3.60306E+19,1000033.992,1662079.147,1.09,1.17,1.29,1.34,1.36,1.38,1.11
202001,3.60306E+19,1000033.992,1662129.147,0.49,0.49,0.55,0.53,0.6,0.78,0.67
202001,3.60306E+19,1000033.992,1662179.147,0.44,0.44,0.49,0.48,0.53,0.71,0.6
202001,3.60306E+19,1000033.992,1662329.147,0.02,0.02,0.02,0.02,0.02,0.02,0.02
202001,3.60306E+19,1000033.992,1662379.147,1.54,1.62,1.96,1.68,1.89,2.65,2.81
202001,3.60306E+19,1000033.992,1662479.147,10.68,11.16,12.84,11.5,12.45,17.38,17.02
202001,3.60306E+19,1000033.992,1662529.147,9.84,10.44,12.18,10.77,11.94,17.48,16.83
